# Jeu SYNTHETIQUE de demonstration A.N.E.M.O.N.E — aucune valeur physique
Energie_MeV,Temps_ns,Angle_diffusion,Temperature_C
3.86439,56.43927,-0.23997,19.60331
4.33612,98.21443,-0.99281,20.38484
3.30907,60.72114,-1.06557,19.76307
4.17377,42.49794,-1.50661,19.79022
4.09509,36.99844,-1.18636,19.95030
3.76234,41.76193,-1.24932,19.68139
3.42158,11.83991,-0.87316,19.63197
4.02885,79.47506,-1.15180,19.98486
3.78820,83.77169,1.32701,19.73254
4.09307,28.43971,-0.14607,19.77769
4.00874,30.37966,-1.24232,19.76564
4.64071,87.43343,-0.63804,20.15671
3.90426,2.39704,1.10841,19.93036
3.59060,52.04574,1.61938,19.94643
4.07171,46.36757,1.06525,20.17908
4.08800,69.01268,-0.06275,19.95739
4.54368,16.33917,-0.91589,19.91652
4.33404,66.83307,-1.19655,20.14114
4.14275,37.67340,0.13211,20.20046
4.58532,61.87148,-1.20749,19.95588
3.52449,4.00950,-1.06398,20.02418
3.74410,46.17272,1.23352,19.76546
3.62937,52.22509,1.32939,19.74180
3.84408,21.43264,0.79598,20.23074
3.44933,13.96237,1.62074,20.13348
4.25406,18.84743,0.05234,20.13659
3.91111,34.41411,0.04323,20.08426
3.41168,9.68101,-0.40169,20.01386
3.59377,94.73198,0.87648,20.20892
4.12541,40.49941,0.48069,20.28053
4.33525,80.89696,-1.23970,20.27337
4.79869,97.44171,0.11083,19.96977
5.16554,8.07353,1.53223,20.41610
4.16576,65.16695,1.07580,20.06854
3.60418,87.14091,-1.13762,20.18971
3.14718,63.42344,0.94476,20.08463
4.10708,42.90261,-1.37691,20.07410
3.67482,43.10764,-1.03616,19.77927
3.83386,3.58989,-0.59593,20.21041
3.75516,53.46008,-0.05499,20.85359
3.94368,99.35430,-1.37044,19.88756
4.42639,95.87075,1.48046,20.02130
4.06282,4.03992,-1.06887,19.86614
3.93655,70.57970,1.40503,19.85359
3.58574,30.17649,-1.58060,20.46333
3.33013,90.29892,1.14505,19.79811
3.80548,4.51147,-1.40670,19.85778
3.97849,93.58741,-0.87209,19.52375
4.70717,83.74757,1.36046,19.77272
4.05211,11.75044,-1.12460,19.48748
4.39310,5.98243,-0.36561,20.18954
3.80028,83.47077,1.45976,20.83991
3.52602,15.57577,0.14901,19.89000
3.61395,53.48982,-0.15516,19.49997
3.70991,91.57449,-0.47499,20.27000
4.85139,56.74481,0.11883,19.78192
3.67145,39.72333,1.39841,20.38980
4.33540,44.50161,0.57651,19.91539
3.63883,6.31172,0.03197,19.81046
4.37263,96.87523,0.69432,19.94661
4.15398,31.06542,-0.72357,20.22733
3.93734,18.93635,0.16893,19.93177
3.98369,28.60473,-0.52463,19.85098
3.73808,96.43732,1.01199,19.94035
4.17843,9.42861,0.07822,19.61844
3.81801,86.73030,-1.27237,20.11911
3.50976,70.78439,1.64173,19.46398
3.48882,83.00192,1.48916,19.86676
4.06904,97.58975,-0.29396,20.22782
4.63164,84.21547,0.98908,20.09091
4.06400,94.33824,0.30374,20.17710
3.95254,12.69353,0.30358,19.98049
4.11433,79.57886,-1.38703,20.35092
4.52240,54.56757,-1.35537,20.27741
4.08775,54.34956,-1.16958,20.13384
3.83563,89.89216,1.22458,20.27826
4.44252,97.18038,0.35814,20.22513
4.17150,70.48383,1.69680,19.86816
4.61430,48.29384,-1.31710,19.59683
4.07329,45.64039,1.64163,20.12611
3.51021,38.63415,1.22522,20.16383
3.45274,36.15990,-1.50657,20.32714
4.66037,39.15068,1.52748,19.71910
4.68947,8.97532,0.57013,19.72807
3.92819,7.74361,1.39450,20.13797
3.84673,77.98698,0.91428,19.97865
4.58458,44.60729,1.01487,19.43427
3.55718,93.06845,-1.48564,20.11253
3.64211,61.22210,-1.40206,19.44427
4.25733,3.51760,-0.55951,19.71642
3.84216,15.75233,-0.03255,20.40550
3.99795,20.58198,1.52647,20.54746
3.93462,97.57360,-0.17535,19.63530
4.13503,21.87042,0.18892,19.90118
4.56299,51.57557,1.59033,20.01279
4.03623,93.61769,-0.85288,20.53437
4.25758,97.71927,-0.42351,19.85214
3.17993,23.63604,-1.57921,19.85693
3.98051,4.91176,-1.25442,20.46462
3.66271,15.36018,0.55820,19.88756
3.51247,6.33285,0.14576,20.21666
3.64874,19.51242,0.76225,19.55686
3.86635,56.85697,0.37289,19.94863
4.36636,91.24488,-0.08358,19.50212
3.46944,53.72189,-0.43577,19.68337
4.01225,62.59896,-0.53757,20.25176
3.80633,20.18673,1.56308,19.98503
3.86893,80.05836,-1.55233,19.90427
4.40110,61.77889,-1.16221,19.77538
4.21525,86.41368,-1.50849,19.93380
4.53496,94.88431,0.91208,20.09033
3.93820,34.79008,-0.22781,20.29487
3.72162,9.05791,0.44830,19.21246
3.91046,22.59290,-0.94841,19.75047
4.09700,43.78416,-0.31492,20.04773
4.07063,94.56937,0.55682,19.97034
3.56624,37.83098,0.06415,20.12101
4.03620,77.07732,1.32441,20.08026
4.09129,54.04767,-0.81414,19.90854
5.00699,18.28088,-0.86808,19.84194
4.75074,32.07341,0.87747,19.92635
3.65870,65.31919,0.72717,20.34462
3.88505,67.28534,-1.51791,19.78040
3.41462,43.47597,-0.72820,19.98116
3.76372,22.86456,-1.05675,20.05500
4.12624,72.19068,0.02173,20.46811
4.48234,16.88730,-1.22079,19.90991
3.70837,93.66697,-0.89151,20.28764
3.73834,18.79036,-0.15705,20.36959
3.14108,10.73124,-1.29416,19.98087
3.93493,49.76477,-0.69893,19.93678
3.57503,51.95496,1.43425,19.90128
3.78822,50.81929,0.77338,19.92325
3.64926,43.66675,-0.33020,20.25627
3.96229,99.48149,-1.15412,20.06930
3.29691,48.62806,-1.57835,20.07059
3.41318,47.79466,-0.93663,19.66243
4.85170,42.17661,-1.44979,19.70975
3.48503,6.68258,0.48466,20.64303
3.56129,59.29566,0.57109,19.94665
4.73477,22.79678,-1.08137,19.76757
5.16203,63.76090,1.31559,20.42933
3.53137,5.08335,-1.27723,20.08454
3.85270,98.13871,-1.05465,20.17345
4.13662,46.90051,0.31090,19.95859
4.69148,89.67554,1.55172,19.90440
3.60526,47.55612,-0.68686,19.94912
3.90189,6.03308,-0.31239,19.58518
4.31094,82.22135,0.76234,19.97362
4.17391,64.81837,1.27530,20.08881
3.84954,78.17570,0.43850,20.55514
3.94647,42.81699,-1.23366,20.02580
3.45004,63.79367,1.21471,19.29975
3.90473,85.62290,-0.91189,19.97180
3.89345,63.10654,0.35551,20.82185
4.09287,34.76736,-0.28334,20.25991
3.77787,66.25296,-0.17456,19.75673
4.18862,67.18542,-1.51020,20.17733
4.40509,96.05870,1.26718,19.77740
4.06217,37.09123,-0.72803,19.59386
4.14070,42.50818,-1.57568,19.89549
4.02126,81.21230,-0.68021,20.02746
4.00003,50.57623,0.40007,19.43835
3.71138,73.65731,-1.45153,19.65525
4.12660,45.97095,1.27589,20.00310
3.96109,21.54951,0.62313,19.87755
4.83727,74.52038,-1.10906,20.11844
4.62934,13.11552,0.68211,19.63560
4.15434,19.85837,1.19929,20.21423
3.69478,62.68250,-0.25794,19.64487
3.55504,74.72698,-1.07582,20.49282
4.47646,89.46879,1.45442,19.48527
4.10510,27.25865,1.28664,19.67223
4.19206,11.07243,-1.53553,20.12521
3.30217,95.60467,1.43867,20.49927
4.37098,15.44231,0.39182,20.09451
4.18177,19.76670,1.12523,20.16886
3.55583,29.13295,-1.06630,20.00526
3.81139,52.93914,0.82017,19.69208
4.10549,88.28256,0.42251,19.85296
4.02099,76.05460,0.96390,19.63643
3.88313,70.81576,1.46340,19.61639
3.95860,17.51806,-1.42071,20.12052
3.89921,35.76826,-1.24724,19.66305
4.06103,47.84049,-0.93437,20.09587
4.58860,14.74260,1.05605,19.60945
2.97334,27.34297,1.24905,20.08891
3.90526,30.83332,-0.70202,19.85340
4.07060,12.72762,0.21867,20.42198
4.11840,55.02397,-1.39884,20.09712
3.85123,70.50282,1.40594,20.37073
3.29731,6.99316,0.82917,19.77331
4.13120,48.11231,-1.23862,20.01684
4.69094,78.22112,0.29435,19.70567
3.38646,74.79901,-0.86996,19.87592
4.34553,81.50731,-0.13115,19.92137
3.86859,44.82406,0.92775,19.78224
3.97547,82.05571,0.42048,19.63535
3.57884,24.07531,-1.40985,19.57594
3.86622,36.08106,-1.50466,19.29808
4.52002,17.63556,-1.44210,19.68310
4.23306,46.74845,0.68993,20.18825
4.69292,39.20600,1.59237,19.52045
4.47096,24.09271,-1.24410,19.58956
4.17563,75.17807,-0.31301,20.53727
4.69757,31.38468,-0.00754,19.80905
4.17560,27.28043,1.17104,20.09631
4.33120,13.08903,0.83450,20.19270
3.88137,43.88217,-0.26114,20.19876
4.02662,30.29646,-1.26626,19.54331
3.72103,36.92728,-0.92756,19.93068
4.39583,23.59973,-1.47784,19.51453
3.52868,76.31555,1.17335,20.73390
4.31294,93.00033,-1.38223,19.52154
3.92374,49.79319,-0.96855,19.68565
4.46850,64.29984,1.52231,19.68782
4.30035,86.71723,-1.43356,19.55100
4.72826,99.88296,-0.91045,20.40578
4.29231,61.35165,-1.42320,20.72673
3.37118,88.97795,1.26544,19.85728
3.97322,90.86082,0.25034,19.60387
3.53120,79.14515,-0.86769,19.32892
3.79269,46.09314,1.29328,19.92677
4.60449,8.11540,1.46053,19.90509
4.25501,1.58056,1.51612,19.80461
3.72043,47.72006,-0.73828,20.06641
3.59451,49.43145,-1.21957,20.11855
4.01311,40.73624,0.17398,20.09692
3.51338,56.81674,0.52630,19.90516
3.73154,55.21627,-1.63104,19.66951
4.12480,83.66130,1.39418,20.19975
4.46212,10.86571,-1.54591,20.00375
4.24350,22.51777,-0.79099,20.26651
3.08348,79.30050,-1.12460,20.23702
4.12175,84.78369,0.04200,19.57347
4.02881,99.48242,-1.11592,19.56973
4.16556,87.29120,-1.06191,19.77334
4.64648,88.98990,1.16535,19.68312
3.17470,31.43479,-0.10189,20.22658
3.76356,40.16616,1.10955,20.10539
4.23636,26.80851,1.44551,20.32976
3.36736,60.62994,-1.21362,20.11895
4.59038,93.88054,-0.57885,20.06259
4.14734,34.46409,0.04550,20.35992
4.33863,55.70018,-1.14894,20.14092
3.77162,29.62996,-1.21959,20.02043
4.32551,16.98000,-1.29435,20.44414
4.42739,19.51855,0.84501,20.03455
4.09315,5.79453,-0.63940,19.90870
4.09376,94.92935,0.86187,19.74865
4.10814,40.28796,0.60990,20.21091
3.65466,83.41209,1.58282,20.37112
3.94099,68.13295,-1.13148,19.98482
3.93899,19.19212,0.60845,20.39237
4.15336,17.54622,-1.49365,19.40900
4.39993,81.19882,-0.71279,19.98336
3.57659,26.47117,1.53466,19.98797
3.95000,91.32852,-0.29161,19.78190
4.59258,14.00554,1.44766,20.71516
3.70256,67.77086,-1.62355,19.98014
3.67110,81.44739,-0.33645,19.87768
4.08092,23.52564,-1.39111,20.00779
4.33775,27.62074,0.79231,19.39916
4.00457,96.45189,1.27298,19.77204
4.53158,26.45976,1.48880,20.29497
4.34272,42.99570,-1.17621,19.81132
4.33673,43.25156,-0.91393,19.75134
4.22165,25.30347,0.18541,20.39286
4.93106,77.57911,1.06770,20.40208
3.91794,77.18493,1.41182,20.15510
3.19859,37.83180,0.28736,19.86346
4.64170,83.51258,1.39524,19.92816
3.81692,21.30749,0.87804,19.75876
4.04315,0.43058,0.44396,19.70157
4.52382,57.11674,0.98227,19.68668
3.35910,99.40778,-1.26966,19.81458
3.49934,3.86443,-0.91528,19.68958
3.35949,20.79981,1.49007,19.53089
3.68235,51.89146,1.55539,20.06582
4.17585,80.99407,-0.97615,20.07038
4.20968,8.90420,0.72970,20.51024
4.11051,39.52347,1.40928,19.79950
3.43489,74.70758,-0.69208,20.08883
3.07596,37.15432,-0.72177,20.09381
4.02174,18.88364,0.00474,19.92385
3.81129,19.54958,1.01291,20.22330
4.18375,41.00488,-0.34624,20.23257
4.28078,47.94171,-0.94403,20.09822
4.05530,86.18144,-1.53241,19.92331
4.30405,64.22524,1.52657,19.89274
4.09168,69.04020,-0.00556,19.58967
4.21203,98.29872,-1.14518,19.75822
3.71813,41.18434,-0.49593,19.81340
3.92816,40.33544,0.72714,19.66281
4.07871,92.33470,-1.41863,20.13198
4.32821,24.58756,-0.83553,20.35899
3.84250,72.98152,-1.03953,19.72758
4.20847,75.45731,0.23654,20.08503
3.89366,9.77880,-0.53086,19.68977
3.95298,46.82314,0.36577,19.90852
4.33181,20.05625,1.35003,19.79290
3.20278,18.53753,-0.35045,20.18057
3.48141,46.38281,1.08019,19.79636
3.40713,28.94297,-0.87384,20.30350
3.06655,79.60604,-1.33883,19.92628
3.72869,90.76049,0.56562,19.80512
4.29977,80.27206,-1.54485,19.62401
3.88605,26.60309,1.46648,20.07596
4.07912,27.41344,1.23462,20.26857
4.43569,25.47284,0.58779,20.08200
4.53107,13.50381,1.11088,20.67165
3.97234,94.37984,0.11196,20.42894
4.54143,40.20478,0.90175,19.90774
4.03685,22.46895,-0.51713,19.90459
3.66504,84.66711,0.04134,20.14091
3.76224,39.91953,1.22230,19.74859
3.40779,3.51168,-0.68015,20.34989
3.64475,16.19416,-0.76433,20.10848
3.85679,63.92503,1.29570,20.07694
4.32143,78.29053,0.32802,20.20609
4.68831,21.09344,1.11947,20.51685
3.44713,91.73956,-0.88708,20.05129
4.15713,85.09971,-0.46331,19.96609
3.58378,84.83808,-0.16886,20.45262
4.18988,22.76611,-0.97155,20.29027
3.94757,5.05360,-1.33824,19.90371
3.26764,86.74235,-1.32548,20.00156
4.37132,30.58002,-1.26693,20.05861
3.75800,61.89164,-1.18164,20.10854
3.78644,75.99669,0.91266,19.59302
3.57210,12.82933,0.28678,19.53725
3.73829,78.08384,0.66143,19.73378
4.17116,93.85115,-0.59110,19.71058
3.92430,72.83750,-0.63891,19.80685
4.13146,44.12227,0.40173,20.19041
4.14477,87.66781,-0.60510,19.94932
4.52826,52.74576,1.17062,20.05892
3.86289,74.47709,-1.28595,19.63271
3.40926,82.05059,0.63935,19.86151
4.42689,74.93529,-0.57282,20.17618
3.86740,28.78549,-0.83334,20.17849
4.44584,11.78439,-1.00770,19.78263
4.15335,23.83385,-1.45564,20.04850
3.94754,50.28749,0.08845,20.65965
4.13951,50.52769,0.41189,19.99472
4.78041,58.26443,1.60390,19.79204
4.83079,39.51018,1.46445,19.94787
4.02775,78.68914,-0.23994,20.02765
4.06408,91.31538,-0.20189,19.95465
4.43050,24.67251,-0.60820,19.99059
3.66174,73.65232,-1.40388,19.56697
4.13323,67.79719,-1.51873,19.71121
3.98965,52.30905,1.23094,19.95520
4.12556,18.85302,-0.05157,19.95042
3.66665,79.52323,-1.31067,19.83014
3.36417,96.06263,1.53417,19.94690
3.17081,72.18363,0.20700,20.01830
3.55305,91.78600,-0.95848,20.26682
3.81653,98.41853,-1.14220,19.97024
3.88272,35.20507,-0.76800,20.11973
4.77489,63.82236,1.27879,19.83752
4.44240,47.39327,-0.48140,20.17163
3.61516,98.66287,-1.27666,20.11272
4.13908,9.38078,0.05987,20.25975
3.83717,41.23749,-0.56707,20.21404
3.88625,87.55390,-0.63282,20.17662
4.07413,28.40513,-0.28462,19.97047
4.24767,78.77929,-0.50264,20.07348
3.86430,38.27832,0.88432,20.31905
4.42554,97.99785,-0.93577,19.80438
3.54322,88.35298,0.87400,19.81148
4.00254,30.13204,-1.54729,20.05443
5.03907,77.01931,1.37237,20.12458
4.08923,33.68565,1.19931,19.75277
4.57329,60.63628,-1.06371,19.97757
4.03661,65.84808,0.19402,19.97180
4.23231,82.95954,1.49344,19.33542
3.97729,2.44508,0.77796,19.93412
3.93184,22.01579,-0.10471,19.95280
3.68821,71.19178,1.20471,19.95191
4.17212,56.35232,-0.48213,20.42477
3.65939,49.56051,-0.96032,19.63526
4.26623,5.52100,-1.26004,19.75261
4.43411,34.82759,-0.53242,19.21634
4.14661,86.51002,-1.54360,19.85573
3.88550,3.08928,-0.00470,19.88131
4.18159,39.64362,1.43611,19.84701
3.87653,94.51483,0.42639,20.33230
4.37422,5.08807,-1.30601,20.25819
3.26744,74.97058,-0.54686,20.02336
3.86576,25.76126,0.99600,19.88882
3.20368,86.66088,-1.44701,20.30786
3.40198,74.60680,-1.03669,19.99407
4.54554,88.57052,0.90543,19.75452
4.35807,21.59248,0.59645,19.48513
3.71221,53.12928,0.37164,19.86761
3.39900,77.92699,0.82952,20.22639
2.81419,24.56997,-0.88205,20.68296
3.78260,23.07463,-1.28323,20.01848
4.96817,2.71821,0.60686,19.77039
4.17395,95.85153,1.43287,19.64451
3.77617,71.00169,1.35957,20.16559
4.18603,63.55604,0.87274,19.47062
3.37562,74.39947,-1.16331,20.16510
3.88107,53.16129,0.37284,20.24531
4.03979,47.61338,-0.79155,20.13088
3.96556,44.95322,1.31897,19.93410
4.31632,64.04392,1.34847,20.16948
4.13786,20.15350,1.30626,20.05128
4.26733,88.80587,1.22036,19.76656
3.72465,81.17524,-0.78096,20.55512
4.35913,34.95636,-0.62342,19.89450
4.65157,57.86093,1.45427,20.23273
3.61194,14.10273,1.61337,19.27442
3.64492,97.23462,0.23320,20.38294
4.53431,90.28927,0.97365,20.44063
3.92346,92.18975,-1.27106,20.00895
4.56153,33.21630,1.41214,20.16763
3.82299,16.91347,-1.21224,20.16755
4.58202,21.17722,1.09038,19.80716
4.05259,9.00014,0.39448,20.16414
4.10329,12.01106,-0.75507,19.75741
4.62589,7.13045,1.31867,19.81737
3.85529,98.98231,-1.34204,20.33808
3.62355,7.40577,1.53493,20.29240
3.82057,13.25421,0.85033,19.78809
4.18093,82.72546,1.38789,19.77993
3.37370,58.02402,1.42097,19.80632
4.25499,77.44172,1.35794,20.21979
3.78449,63.09120,0.25738,19.70000
4.45913,88.21751,0.31089,20.10701
3.04230,63.84675,1.20652,20.22405
3.68537,52.21251,1.48494,19.97353
3.32541,71.27497,1.32720,20.30302
3.66951,44.73928,1.05777,19.90871
4.09907,34.60638,-0.20831,19.93584
3.92831,46.76525,0.49534,19.70683
3.89865,16.97141,-1.50432,20.30515
3.93633,79.65717,-1.26145,19.77004
4.08136,26.07038,1.32706,20.10493
3.59659,15.35315,0.62675,19.97861
4.28274,24.63522,-0.79139,19.68417
4.26507,84.20702,0.59269,19.81727
4.15402,33.02013,1.32247,20.41486
4.22261,68.60499,-0.59017,20.06050
4.11857,85.64096,-1.13476,19.69725
4.81403,7.77447,1.42019,20.09160
3.96516,76.50244,1.50393,19.95617
3.87717,30.76655,-0.78052,21.03621
3.69859,21.66224,0.48697,20.08554
3.58709,68.89015,-0.36384,19.88581
3.50221,90.97966,0.17607,20.42601
3.64448,29.50192,-1.38980,19.44769
3.97173,56.88338,0.65275,20.02830
4.13372,28.98341,-0.93445,20.59833
4.02046,55.42856,-1.27762,19.96514
3.69379,62.18620,-0.78565,19.48001
4.36007,61.03354,-1.57831,19.88122
4.29577,62.35464,-0.61348,20.43636
3.93614,13.50798,1.18330,20.11282
3.73883,69.35405,0.10350,19.74834
4.21937,67.47504,-1.70923,19.79443
4.07519,68.25881,-1.23487,19.83209
3.42075,7.40706,1.40579,20.10836
3.97281,44.68388,0.97953,20.40146
4.10481,40.90351,-0.07571,20.31573
3.64012,8.67115,1.22153,20.13680
4.07594,22.23679,-0.49168,19.60051
3.41807,44.09626,0.16784,19.60162
4.53447,74.29063,-1.31149,20.15998
4.49918,23.70621,-1.55805,19.59636
3.89899,82.97499,1.44556,19.93233
4.14538,54.57983,-1.54273,20.09125
3.03603,76.04217,1.04152,19.65872
3.53746,47.25560,-0.26515,19.69272
3.88249,49.91942,-0.30565,19.97176
3.57115,61.97194,-1.13993,20.15110
4.28576,92.79706,-1.38639,20.31846
4.79892,49.18126,-1.33124,20.18212
3.52935,52.86575,0.76983,20.02210
3.66501,60.19970,-0.78993,19.77614
4.09418,73.75151,-1.48377,19.67873
4.64445,7.18503,1.20851,19.84674
3.51105,51.56874,1.36821,20.12298
4.09961,48.15916,-1.30250,20.10099
4.72852,92.16850,-1.37123,19.37003
3.33930,49.35066,-0.95872,19.76430
3.48757,46.83205,0.42259,20.36135
3.83056,96.22000,1.53528,20.02376
3.79176,45.05765,1.30007,19.57490
4.32504,18.08844,-1.00866,20.70675
4.09666,21.69161,0.31048,19.99132
3.29002,9.51875,-0.18546,20.11530
4.20616,0.05681,0.10623,20.11986
3.76898,43.19457,-0.90453,19.88972
4.50978,76.92426,1.52070,19.78173
3.74896,73.34664,-1.19158,20.63650
3.74535,3.21491,-0.04580,20.30096
4.21645,56.99829,0.81468,20.24658
4.30517,15.42831,0.40813,20.17289
4.17924,94.10763,0.02948,19.69900
3.32576,16.73650,-1.33336,20.38326
4.21521,62.66392,-0.32736,19.74706
3.58628,32.62384,1.28131,20.08499
4.09411,64.15613,1.68775,19.50818
3.43051,41.22586,-0.48161,19.38774
4.17853,75.96431,0.77108,20.09549
3.67736,23.06791,-1.19574,19.75727
3.48695,90.57919,0.82319,19.40325
4.28553,50.02096,-0.16652,20.16218
4.09666,75.60931,0.15951,20.63602
3.75441,84.97302,-0.25072,20.41687
4.58047,99.88286,-0.95177,19.92280
3.82374,22.39457,-0.78621,20.00265
4.01284,28.68924,-0.49863,20.26631
4.10757,25.04331,-0.16101,20.33664
3.75213,26.28713,1.44579,19.89694
4.18845,58.24447,1.72427,20.01025
3.78662,99.35225,-1.42150,20.09018
3.83534,99.02781,-1.53869,20.16616
4.54506,52.67732,1.01189,19.96008
3.58377,63.90272,1.41515,19.96397
3.03489,85.99705,-1.44016,20.41395
4.64437,93.29335,-1.28708,20.36286
5.01973,20.38606,1.60484,20.14322
3.83789,52.85417,0.82560,20.51573
3.22526,83.28371,1.29478,19.88407
3.87581,30.32021,-1.45643,20.48689
3.88551,43.98090,0.14803,20.16275
3.92403,98.56211,-1.34253,20.98131
3.55464,98.50467,-1.42328,19.64226
4.23182,90.61068,0.69617,19.79320
4.20980,79.84483,-1.44601,20.12564
3.40224,26.91305,1.54077,20.11917
4.27968,32.08501,0.79457,20.58504
4.82107,54.72828,-1.53762,19.79949
4.06878,56.07774,-0.65328,20.27148
3.86507,50.55028,0.41146,20.34874
3.94320,63.66703,1.16931,20.21139
4.24610,40.83230,-0.11035,19.71170
3.30773,74.91742,-0.65803,20.42233
4.06576,33.35499,1.50859,20.36880
3.84381,33.06770,1.54377,20.17988
4.73913,12.72260,0.24730,20.06130
3.93033,18.87122,0.02291,20.06783
4.66716,85.05209,-0.42412,19.97638
3.55850,44.62823,0.89572,20.19224
4.23490,22.78678,-0.94549,20.00934
4.12776,75.93411,0.75400,19.74544
3.65238,55.39811,-1.45847,19.68542
4.07096,2.11560,1.23362,19.77439
4.48501,31.63615,0.34775,20.06664
3.87048,17.70014,-1.40614,19.99191
3.32321,65.58729,0.61348,20.06460
3.99297,27.50310,1.09781,20.15024
3.63903,6.49468,0.40378,19.81180
3.86306,5.49350,-0.92284,20.43970
3.96736,58.17273,1.59746,19.91969
3.31774,2.17235,1.14327,19.86997
3.35374,84.87921,-0.17462,20.14472
4.19283,15.53971,0.24361,19.44905
3.79091,60.65663,-1.27936,19.76284
2.97410,44.46880,0.58748,20.29432
4.31394,44.28515,0.40320,19.47877
4.10895,7.17971,1.12430,20.33527
3.71445,80.27523,-1.54691,20.45334
3.47327,89.30525,1.42887,19.88916
4.33432,1.10167,1.45579,20.08754
